"Submitted","HTML Block","第一部份：基本資料","1. 性別：","性別 - 其他 - 請說明 :","2. 年齡","3. 最高學歷","最高學歷 - 其他 - 請說明 :","4.	最高學歷畢業校系","5. 最高學歷畢業時間：請填寫西元年","6.	工作年資（因各類原因中斷未就業之時間請扣除，未滿一年請進位為一年計）：）：","(a) 工程與科技領域職務(年)","(b) 非工程與科技領域職務","第二部分：從業現況與職涯發展","7. 是否正在從事工程與科技領域職務（含管理與學術研究）？","8. 您離開工程職務之最主要原因為何？請勾選最主要原因，至多二項。","原因 - 其他（請說明）","9.	請問您目前的工作狀況為何？","請問深造進修中為何系所？","10.	請問您目前服務的職務較接近下列何者？","請問目前受您管理的人員約＿＿人？","11.	您對於現任職務之五年後職涯發展的預期為何？請勾選最有可能的一項。","請說明原因:","12.	請問您所預期的職涯發展，需要哪些配合因素來達成？請勾選最主要因素，至多二項。","其他，請說明","第三部分：職場環境","13.	哪些福利措施最有助於您留在工程與科技領域就業？（不論現在是否有需求皆可選擇，可複選，最多三項）","14.	您服務的單位或待業前服務的單位提供哪些職場相關措施？（可複選）","15.	您認為工程與科技領域最需要改善的性別議題有哪些？請勾選其中最重要的議題，至多三項。","第四部份：性別與職涯發展","16.	在您或您認識的女性身上，性別在工程與科技領域的求學階段有否差異？","我觀察到的差異如下:","較用功或成績較好","較擅長數理學科","動手實驗或實習的機會較少","遇到挫折時較易放棄","較不敢接受挑戰","較容易情緒起伏","較受人際問題干擾","較容易為情所困","還有其他差異?（請說明）","17.	在您或您認識的工程與科技領域女性身上，性別在求職時的職務選擇方面有否差異？","選擇內勤為主的職務","選擇無須出差的職務","選擇無須應酬的職務","選擇無須輪班或值夜班的職務","選擇可兼顧家庭的職務","選擇較有升遷或加薪機會的職務","18.	就您的認知，不同性別在工程與科技領域的求職難易度有否差異？","19.	在您或您認識的女性身上，性別在工程與科技領域的就業過程中存在的差異：（複選，同意即打勾）","其他（請說明）","20.	對您的經驗，不同性別的工程與科技領域主管是否有領導風格的差異（指非因個人而是因為性別所致之差異）？","21.	您個人比較偏好與何種性別工程與科技領域的主管共事？","22.	不同性別工程與科技領域的主管領導風格差異主要顯現在哪些層面？（可複選至多三項）","其他（請說明）：","第五部份：其他意見","歡迎提供意見或建議","Submitted From",
"2019-09-23 20:15:01 +00:00","","","男性","","46~50歲","專科","","國內學校，工程與科技相關領域","1990","","7","10","","是","","","","","工程與科技領域之管理職務","18","在同一職務上","","取得更高學歷、證照或其他資格","彈性工時1H","","彈性工作地點 (例如可部分時間在家工作)","其他，請說明","彈性工作地點（例如可部分時間在家工作）,可兼顧工作角色與家庭角色（例如包容家庭因素而假日無法加班或須提早下班）","","有，我有觀察到差異：","","女性較有此特質","男性較有此特質","無差異","無差異","女性較有此特質","無差異","無差異","女性較有此特質","","有，我有觀察到差異：","女性較有此傾向","無差異","女性較有此傾向","無差異","女性較有此傾向","無差異","沒有接觸經驗，無法回答","沒有差異  ( 若選此項, 請勿再勾選其他選項 )","","是，有差異","無性別偏好","與屬下間相處的態度,管理方式,對目標掌控的能力","","","","42.72.133.196",
"2019-09-23 19:36:05 +00:00","","","男性","","31~35歲","碩士","","國內學校，工程與科技相關領域","2015","","3","1","","是","","","","","工程與科技領域之非管理職務","","繼續擔任非管理職務但從事的規模擴大，例如專案金額提高","","個人之專業表現,上司/長官青睞與同事之人際關係","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作)","設備完善的哺集乳室,育兒津貼","面試標準、升遷制度與工作分派制度無性別差異,可兼顧工作角色與家庭角色（例如包容家庭因素而假日無法加班或須提早下班）,無性騷擾或具備性別平等觀念之環境","","有，我有觀察到差異：","","女性較有此特質","男性較有此特質","女性較有此特質","無差異","女性較有此特質","女性較有此特質","女性較有此特質","女性較有此特質","","沒有接觸經驗，無法回答","","","","","","","","","","","","","","","","42.73.255.110",
"2019-09-23 17:04:08 +00:00","","","男性","","41~45歲","專科","","國內學校，工程與科技相關領域","1995","","18","5","","是","","","","","工程與科技領域之非管理職務","","由非管理職務轉換為管理職務","","個人之專業表現","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作)","無，沒有提供 ( 若選此項, 請勿再勾選其他選項 )","無性騷擾或具備性別平等觀念之環境","","沒有接觸經驗，無法回答","","","","","","","","","","","","","","","","","","","","","","","","","","","39.9.137.91",
"2019-09-23 16:54:05 +00:00","","","男性","","61~65歲","大學/大專","","國內學校，工程與科技相關領域","1983","","40","0","","是","","","","","工程與科技領域之管理職務","1","在同一職務上","","還不清楚（若勾選本項請勿再勾選其他項目）","值班","","其他（請說明）","其他，請說明","其他（請說明）","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","女男平等","123.195.195.147",
"2019-09-23 16:38:38 +00:00","","","女性","","61~65歲","博士","","國外學校，工程與科技相關領域","1988","","31","0","","是","","","","","公司或學術研究機構之高階主管，如董事長、總/副總經理或所長、院長層級","","由管理職務轉換為非管理職務","","個人之專業表現,上司/長官青睞與同事之人際關係","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作)","無，沒有提供 ( 若選此項, 請勿再勾選其他選項 )","彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）,彈性工作地點（例如可部分時間在家工作）,可帶孩子到工作環境加班或加班時工作環境提供孩子照顧服務","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","61.231.183.46",
"2019-09-23 16:17:57 +00:00","","","男性","","46~50歲","碩士","","國內學校，工程與科技相關領域","2005","","27","5","","是","","","","","公司或學術研究機構之高階主管，如董事長、總/副總經理或所長、院長層級","","在同一職務上","","個人之專業表現,公司/機構制度穩定，只要沒有犯錯自然可以達成","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作)","彈性工時以兼顧家務 (例如可以只上午班或下午班),彈性工作地點以兼顧家務 (例如可部分時間在家工作)","彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）,彈性工作地點（例如可部分時間在家工作）,可兼顧工作角色與家庭角色（例如包容家庭因素而假日無法加班或須提早下班）","","有，我有觀察到差異：","","女性較有此特質","男性較有此特質","女性較有此特質","無差異","無差異","無差異","無差異","無差異","","有，我有觀察到差異：","女性較有此傾向","無差異","無差異","女性較有此傾向","女性較有此傾向","無差異","有，女性較男性困難","女性升遷較為困難,女性升遷較為容易,在相同條件或資格下女性比較不會被分配到重要的工作","","是，有差異","無性別偏好","與屬下間相處的態度,對目標掌控的能力,親力親為或充分授權","","","","59.102.135.97",
"2019-09-23 15:49:45 +00:00","","","女性","","36~40歲","大學/大專","","國內學校，工程與科技相關領域","2003","","13","2","","是","","","","","工程與科技領域之非管理職務","","由非管理職務轉換為管理職務","","個人之專業表現,上司/長官青睞與同事之人際關係","","","彈性工時 (例如可以只上午班或下午班),育兒津貼","設備完善的哺集乳室,育兒津貼","可兼顧工作角色與家庭角色（例如包容家庭因素而假日無法加班或須提早下班）,合適家庭共同參與之聯誼時間與方式","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","49.217.167.92",
"2019-09-23 15:44:20 +00:00","","","女性","","51~55歲","碩士","","國內學校，非工程與科技相關領域","2008","","0","29","","否","升遷受阻","","工程與科技產業之非工程與科技職務（例如行政、會計、人事等）","","非工程與科技領域之管理職務","20","管理職務範圍逐漸擴大，例如受管理人員數增加","","上司/長官青睞與同事之人際關係","","","彈性工時 (例如可以只上午班或下午班)","育嬰留職停薪後可確保回復原職","面試標準、升遷制度與工作分派制度無性別差異,彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）,彈性工作地點（例如可部分時間在家工作）","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","223.136.8.251",
"2019-09-23 15:28:59 +00:00","","","女性","","46~50歲","大學/大專","","國內學校，工程與科技相關領域","1996","","18","0","","是","","","","","自行創業或自行開業之技師","","在同一職務上","","個人之專業表現","自己開業","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作)","其他，請說明","彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）,彈性工作地點（例如可部分時間在家工作）","","有，我有觀察到差異：","","男性較有此特質","男性較有此特質","女性較有此特質","女性較有此特質","男性較有此特質","女性較有此特質","女性較有此特質","女性較有此特質","","有，我有觀察到差異：","女性較有此傾向","女性較有此傾向","女性較有此傾向","女性較有此傾向","女性較有此傾向","男性較有此傾向","沒有接觸經驗，無法回答","女性升遷較為困難","","是，有差異","男性","分派工作時的考量點","","","","42.72.19.162",
"2019-09-23 15:17:01 +00:00","","","男性","","46~50歲","碩士","","國內學校，工程與科技相關領域","1997","","19","0","","是","","","","","工程與科技領域之管理職務","22","管理職務範圍逐漸擴大，例如受管理人員數增加","","個人之專業表現,上司/長官青睞與同事之人際關係","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作)","無，沒有提供 ( 若選此項, 請勿再勾選其他選項 )","彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）,彈性工作地點（例如可部分時間在家工作）,可兼顧工作角色與家庭角色（例如包容家庭因素而假日無法加班或須提早下班）","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","223.137.219.223",
"2019-09-23 14:47:56 +00:00","","","女性","","25歲以下","大學/大專","","國內學校，工程與科技相關領域","2019","","1","1.5","","是","","","","","工程與科技領域之非管理職務","","由非管理職務轉換為管理職務","","個人之專業表現,取得更高學歷、證照或其他資格","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作),育嬰留職停薪後可確保回復原職","合適家庭共同參加之聯誼時間與方式","可帶孩子到工作環境加班或加班時工作環境提供孩子照顧服務,無性騷擾或具備性別平等觀念之環境,配合懷孕與育嬰需求之女性友善硬體環境","","沒有接觸經驗，無法回答","","","","","","","","","","","","","","","","","","","","","","","","","","","36.237.3.226",
"2019-09-23 14:35:54 +00:00","","","女性","","56~60歲","專科","","國內學校，工程與科技相關領域","1986","","34","2","","是","","","","","工程與科技領域之管理職務","3","同等級職務之部門轉換","","個人之專業表現,與客戶關係","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作)","無，沒有提供 ( 若選此項, 請勿再勾選其他選項 )","面試標準、升遷制度與工作分派制度無性別差異","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","116.59.164.142",
"2019-09-23 14:35:49 +00:00","","","男性","","51~55歲","碩士","","國內學校，工程與科技相關領域","1995","","22","0","","是","","","","","自行創業或自行開業之技師","","在同一職務上","","個人之專業表現,與客戶關係","","","無，個人不需要這些福利 ( 若選此項, 請勿再勾選其他選項 )","無，沒有提供 ( 若選此項, 請勿再勾選其他選項 )","面試標準、升遷制度與工作分派制度無性別差異,彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）","","沒有接觸經驗，無法回答","","","","","","","","","","","","","","","","","","","","","","","","","","","1.34.152.118",
"2019-09-23 14:31:03 +00:00","","","女性","","41~45歲","碩士","","國內學校，工程與科技相關領域","2000","","25","5","","是","","","","","工程與科技領域之管理職務","8","管理職務範圍逐漸擴大，例如受管理人員數增加","","個人之專業表現,公司/機構制度穩定，只要沒有犯錯自然可以達成","學齡兒童接送照顧服務","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作),其他（請說明）","無，沒有提供 ( 若選此項, 請勿再勾選其他選項 )","彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）,可帶孩子到工作環境加班或加班時工作環境提供孩子照顧服務,無性騷擾或具備性別平等觀念之環境","","有，我有觀察到差異：","","女性較有此特質","男性較有此特質","女性較有此特質","女性較有此特質","女性較有此特質","無差異","無差異","無差異","","有，我有觀察到差異：","無差異","無差異","無差異","無差異","女性較有此傾向","無差異","有，女性較男性困難","女性升遷較為困難,女性會因為家庭或其他私人因素而婉拒升遷或接受更重要的工作,女性要比較努力證明自己的能力才能獲得職場肯定或升遷機會,女性於討論時比較不敢表達自己的意見","","是，有差異","男性","管理方式,對目標掌控的能力,獎勵部屬的慷慨程度","","","","42.73.165.166",
"2019-09-23 14:03:54 +00:00","","","男性","","46~50歲","碩士","","國內學校，工程與科技相關領域","2010","","電機工程監(21)","無","","是","","","","","工程與科技領域之管理職務","3","同等級職務之部門轉換","","個人之專業表現","","","無，個人不需要這些福利 ( 若選此項, 請勿再勾選其他選項 )","育嬰留職停薪後可確保回復原職,托兒服務（指於單位內部設有收托二歲至六歲兒童之服務機構）","面試標準、升遷制度與工作分派制度無性別差異,無性騷擾或具備性別平等觀念之環境,配合懷孕與育嬰需求之女性友善硬體環境","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","問題偏單調且廣度不足","114.137.57.90",
"2019-09-23 14:01:14 +00:00","","","男性","","51~55歲","碩士","","國內學校，工程與科技相關領域","1994","","19","0","","是","","","","","工程與科技領域之管理職務","150","管理職務範圍逐漸擴大，例如受管理人員數增加","","個人之專業表現,上司/長官青睞與同事之人際關係","","","彈性工時 (例如可以只上午班或下午班),育兒津貼","育嬰留職停薪後可確保回復原職,育兒津貼","面試標準、升遷制度與工作分派制度無性別差異","","有，我有觀察到差異：","","女性較有此特質","男性較有此特質","無差異","女性較有此特質","女性較有此特質","女性較有此特質","無差異","女性較有此特質","","有，我有觀察到差異：","女性較有此傾向","女性較有此傾向","女性較有此傾向","女性較有此傾向","女性較有此傾向","男性較有此傾向","有，女性較男性困難","分派工作時較不會賦予特定職務或工作條件給女性（例如但不限於須輪班、值夜班、派駐於工地或製造現場）","","只與單一性別主管共事過，無法比較差異","","","","","","42.73.137.88",
"2019-09-23 13:58:31 +00:00","","","女性","","51~55歲","大學/大專","","國內學校，工程與科技相關領域","1991","","28","0","","是","","","","","工程與科技領域之管理職務","231","同等級職務之部門轉換","","個人之專業表現,上司/長官青睞與同事之人際關係","","","無，個人不需要這些福利 ( 若選此項, 請勿再勾選其他選項 )","無，沒有提供 ( 若選此項, 請勿再勾選其他選項 )","面試標準、升遷制度與工作分派制度無性別差異,可兼顧工作角色與家庭角色（例如包容家庭因素而假日無法加班或須提早下班）,無性騷擾或具備性別平等觀念之環境","","有，我有觀察到差異：","","無差異","男性較有此特質","無差異","無差異","女性較有此特質","無差異","無差異","無差異","","有，我有觀察到差異：","女性較有此傾向","女性較有此傾向","女性較有此傾向","女性較有此傾向","女性較有此傾向","男性較有此傾向","有，女性較男性困難","女性升遷較為困難,女性要比較努力證明自己的能力才能獲得職場肯定或升遷機會,分派工作時較不會賦予特定職務或工作條件給女性（例如但不限於須輪班、值夜班、派駐於工地或製造現場）,分派工作時女性較不願意接受特定職務或工作條件（例如但不限於須輪班、值夜班、派駐於工地或製造現場）","","是，有差異","無性別偏好","與屬下間相處的態度,管理方式","","","","42.73.214.179",
"2019-09-23 13:51:24 +00:00","","","男性","","41~45歲","碩士","","國內學校，工程與科技相關領域","1999","","19","1","","是","","","","","工程與科技領域之管理職務","100","同等級職務之部門轉換","","公司/機構制度穩定，只要沒有犯錯自然可以達成,上司/長官青睞與同事之人際關係","","","彈性工時 (例如可以只上午班或下午班),合適家庭共同參加之聯誼時間與方式,托兒服務（指於單位內部設有收托二歲至六歲兒童之服務機構）","育嬰留職停薪後可確保回復原職","面試標準、升遷制度與工作分派制度無性別差異,可帶孩子到工作環境加班或加班時工作環境提供孩子照顧服務,可兼顧工作角色與家庭角色（例如包容家庭因素而假日無法加班或須提早下班）","","有，我有觀察到差異：","","無差異","男性較有此特質","女性較有此特質","無差異","無差異","女性較有此特質","男性較有此特質","無差異","","有，我有觀察到差異：","女性較有此傾向","女性較有此傾向","女性較有此傾向","女性較有此傾向","女性較有此傾向","無差異","否，沒有差異","女性升遷較為容易,分派工作時較不會賦予特定職務或工作條件給女性（例如但不限於須輪班、值夜班、派駐於工地或製造現場）","","是，有差異","無性別偏好","與屬下間相處的態度,管理方式,懲罰或訓誡部屬的嚴厲程度","","","","118.168.22.55",
"2019-09-23 13:35:56 +00:00","","","男性","","46~50歲","碩士","","國內學校，工程與科技相關領域","1996","","21","2","","是","","","","","工程與科技領域之管理職務","145","同等級職務之部門轉換","","個人之專業表現,上司/長官青睞與同事之人際關係","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作),合適家庭共同參加之聯誼時間與方式","無，沒有提供 ( 若選此項, 請勿再勾選其他選項 )","彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）,彈性工作地點（例如可部分時間在家工作）,可帶孩子到工作環境加班或加班時工作環境提供孩子照顧服務","","有，我有觀察到差異：","","男性較有此特質","男性較有此特質","男性較有此特質","無差異","無差異","女性較有此特質","女性較有此特質","無差異","","否，沒有差異","","","","","","","","","","","","","","","無","114.137.152.95",
"2019-09-23 13:30:26 +00:00","","","男性","","51~55歲","博士","","國內學校，工程與科技相關領域","2007","","27","0","","是","","","","","工程與科技領域之管理職務","500","在同一職務上","","上司/長官青睞與同事之人際關係,與客戶關係","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作),育嬰留職停薪後可確保回復原職","合適家庭共同參加之聯誼時間與方式,因懷孕或育兒可選擇（非被迫）職務內容之調整,育嬰留職停薪後可確保回復原職","面試標準、升遷制度與工作分派制度無性別差異,可帶孩子到工作環境加班或加班時工作環境提供孩子照顧服務,可兼顧工作角色與家庭角色（例如包容家庭因素而假日無法加班或須提早下班）","","有，我有觀察到差異：","","女性較有此特質","女性較有此特質","男性較有此特質","男性較有此特質","女性較有此特質","女性較有此特質","女性較有此特質","無差異","","有，我有觀察到差異：","女性較有此傾向","女性較有此傾向","女性較有此傾向","女性較有此傾向","","無差異","有，女性較男性困難","女性升遷較為困難,女性要比較努力證明自己的能力才能獲得職場肯定或升遷機會,在相同條件或資格下女性比較不會被分配到重要的工作,女性於討論時比較不敢表達自己的意見","","是，有差異","無性別偏好","與屬下間相處的態度,管理方式,對細節的要求程度","","","","42.72.226.128",
"2019-09-23 13:29:18 +00:00","","","女性","","46~50歲","碩士","","國內學校，工程與科技相關領域","1995","","24","0","","是","","","","","工程與科技領域之管理職務","100","管理職務範圍逐漸擴大，例如受管理人員數增加","","自己主動爭取,上司/長官青睞與同事之人際關係","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作)","設備完善的哺集乳室,育兒津貼","可帶孩子到工作環境加班或加班時工作環境提供孩子照顧服務","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","114.136.211.132",
"2019-09-23 13:24:58 +00:00","","","男性","","41~45歲","碩士","","國內學校，工程與科技相關領域","2011","","20年","0年","","是","","","","","工程與科技領域之管理職務","21人","管理職務範圍逐漸擴大，例如受管理人員數增加","","個人之專業表現,上司/長官青睞與同事之人際關係","","","無，個人不需要這些福利 ( 若選此項, 請勿再勾選其他選項 )","育嬰留職停薪後可確保回復原職,設備完善的哺集乳室","不了解，沒有想法  ( 若選此項, 請勿再勾選其他選項 )","","有，我有觀察到差異：","","無差異","男性較有此特質","女性較有此特質","無差異","無差異","無差異","無差異","無差異","","否，沒有差異","","","","","","","","","","","","","","","現在很注重女性主管比例","42.72.251.152",
"2019-09-23 12:01:14 +00:00","","","男性","","61~65歲","專科","","國內學校，工程與科技相關領域","1884","","35","0","","是","","","","","工程與科技領域之管理職務","5","離職 (請說明原因)","退休","個人之專業表現","","","無，個人不需要這些福利 ( 若選此項, 請勿再勾選其他選項 )","無，沒有提供 ( 若選此項, 請勿再勾選其他選項 )","不了解，沒有想法  ( 若選此項, 請勿再勾選其他選項 )","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","114.43.28.152",
"2019-09-23 11:47:45 +00:00","","","女性","","26~30歲","碩士","","國內學校，工程與科技相關領域","2016","","3","0","","是","","","","","工程與科技領域之非管理職務","","繼續擔任非管理職務但從事的規模擴大，例如專案金額提高","","個人之專業表現","","","彈性工時 (例如可以只上午班或下午班),因懷孕或育兒可選擇（非被迫）職務內容之調整,育嬰留職停薪後可確保回復原職","育嬰留職停薪後可確保回復原職,托兒服務（指於單位內部設有收托二歲至六歲兒童之服務機構）","面試標準、升遷制度與工作分派制度無性別差異,可帶孩子到工作環境加班或加班時工作環境提供孩子照顧服務,可兼顧工作角色與家庭角色（例如包容家庭因素而假日無法加班或須提早下班）","","有，我有觀察到差異：","","無差異","男性較有此特質","女性較有此特質","無差異","無差異","女性較有此特質","無差異","無差異","","有，我有觀察到差異：","女性較有此傾向","無差異","無差異","無差異","無差異","無差異","有，女性較男性困難","女性會因為家庭或其他私人因素而婉拒升遷或接受更重要的工作","","是，有差異","男性","與屬下間相處的態度,管理方式,對目標掌控的能力","","","","60.251.5.135",
"2019-09-23 11:38:27 +00:00","","","女性","","25歲以下","大學/大專","","國內學校，工程與科技相關領域","2017","","1","2","","否","須照顧家人,恰處於工作銜接空檔","","非工程與科技領域之民營公司","","非工程與科技領域之非管理職務","","由非管理職務轉換為管理職務","","個人之專業表現,自己主動爭取","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作),托兒服務（指於單位內部設有收托二歲至六歲兒童之服務機構）","育嬰留職停薪後可確保回復原職,設備完善的哺集乳室,育兒津貼","面試標準、升遷制度與工作分派制度無性別差異,彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）,彈性工作地點（例如可部分時間在家工作）","","有，我有觀察到差異：","","男性較有此特質","男性較有此特質","男性較有此特質","男性較有此特質","女性較有此特質","女性較有此特質","女性較有此特質","女性較有此特質","","否，沒有差異","","","","","","","","","","","","","","","","42.72.20.193",
"2019-09-23 11:37:34 +00:00","","","男性","","51~55歲","博士","","國內學校，工程與科技相關領域","1998","","20","0","","是","","","","","工程與科技領域之管理職務","20","管理職務範圍逐漸擴大，例如受管理人員數增加","","個人之專業表現,上司/長官青睞與同事之人際關係","","","彈性工時 (例如可以只上午班或下午班)","彈性工作地點以兼顧家務 (例如可部分時間在家工作)","面試標準、升遷制度與工作分派制度無性別差異,配合懷孕與育嬰需求之女性友善硬體環境","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","114.137.48.124",
"2019-09-23 10:36:31 +00:00","","","男性","","51~55歲","碩士","","國內學校，工程與科技相關領域","1994","","27","0","","是","","","","","工程與科技領域之管理職務","20","管理職務範圍逐漸擴大，例如受管理人員數增加","","個人之專業表現,上司/長官青睞與同事之人際關係","","","合適家庭共同參加之聯誼時間與方式,因懷孕或育兒可選擇（非被迫）職務內容之調整,托兒服務（指於單位內部設有收托二歲至六歲兒童之服務機構）","合適家庭共同參加之聯誼時間與方式,育嬰留職停薪後可確保回復原職,設備完善的哺集乳室","不了解，沒有想法  ( 若選此項, 請勿再勾選其他選項 )","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","無","42.72.254.175",
"2019-09-23 09:45:17 +00:00","","","男性","","56~60歲","碩士","","國內學校，工程與科技相關領域","2011","","30","1","","是","","","","","工程與科技領域之管理職務","7","在同一職務上","","還不清楚（若勾選本項請勿再勾選其他項目）","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作)","育嬰留職停薪後可確保回復原職,設備完善的哺集乳室","無性騷擾或具備性別平等觀念之環境,配合懷孕與育嬰需求之女性友善硬體環境","","沒有接觸經驗，無法回答","","","","","","","","","","","","","","","","","","","","","","","","","","無","210.69.58.217",
"2019-09-23 09:24:28 +00:00","","","男性","","56~60歲","大學/大專","","國內學校，工程與科技相關領域","1986","","30","0.5","","是","","","","","工程與科技領域之管理職務","20","繼續擔任非管理職務但從事的規模擴大，例如專案金額提高","","個人之專業表現,與客戶關係","","","無，個人不需要這些福利 ( 若選此項, 請勿再勾選其他選項 )","育嬰留職停薪後可確保回復原職,育兒津貼","面試標準、升遷制度與工作分派制度無性別差異","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","61.67.206.125",
"2019-09-23 09:08:59 +00:00","","","女性","","26~30歲","大學/大專","","國內學校，工程與科技相關領域","2013","","6","0","","是","","","","","工程與科技領域之管理職務","7","管理職務範圍逐漸擴大，例如受管理人員數增加","","個人之專業表現,自己主動爭取","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作),因懷孕或育兒可選擇（非被迫）職務內容之調整","育嬰留職停薪後可確保回復原職","面試標準、升遷制度與工作分派制度無性別差異,彈性工作地點（例如可部分時間在家工作）,無性騷擾或具備性別平等觀念之環境","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","60.251.5.135",
"2019-09-23 09:08:05 +00:00","","","女性","","26~30歲","碩士","","國內學校，工程與科技相關領域","2016","","7","0","","是","","","","","工程與科技領域之非管理職務","","離職 (請說明原因)","","取得更高學歷、證照或其他資格","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作)","育嬰留職停薪後可確保回復原職,育兒津貼","面試標準、升遷制度與工作分派制度無性別差異,無性騷擾或具備性別平等觀念之環境,配合懷孕與育嬰需求之女性友善硬體環境","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.180",
"2019-09-23 09:06:57 +00:00","","","男性","","26~30歲","大學/大專","","國內學校，工程與科技相關領域","102","","3","0","","是","","","","","非工程與科技領域之非管理職務","","在同一職務上","","還不清楚（若勾選本項請勿再勾選其他項目）","","","彈性工時 (例如可以只上午班或下午班),合適家庭共同參加之聯誼時間與方式","彈性工時以兼顧家務 (例如可以只上午班或下午班),彈性工作地點以兼顧家務 (例如可部分時間在家工作)","面試標準、升遷制度與工作分派制度無性別差異,彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）,彈性工作地點（例如可部分時間在家工作）","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","59.125.157.247",
"2019-09-23 08:48:17 +00:00","","","女性","","51~55歲","專科","","國內學校，非工程與科技相關領域","1990","","0","22","","否","其他（請說明）","非工程類分發","工程與科技產業之非工程與科技職務（例如行政、會計、人事等）","","其他（請說明）","","在同一職務上","","還不清楚（若勾選本項請勿再勾選其他項目）","","","無，個人不需要這些福利 ( 若選此項, 請勿再勾選其他選項 )","無，沒有提供 ( 若選此項, 請勿再勾選其他選項 )","彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）,彈性工作地點（例如可部分時間在家工作）,配合懷孕與育嬰需求之女性友善硬體環境","","沒有接觸經驗，無法回答","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.58.185",
"2019-09-23 08:32:27 +00:00","","","男性","","41~45歲","大學/大專","","國內學校，工程與科技相關領域","2000","","20","0","","是","","","","","工程與科技領域之非管理職務","","離職 (請說明原因)","公司關閉","個人之專業表現,與客戶關係","","","彈性工時 (例如可以只上午班或下午班),彈性工作地點 (例如可部分時間在家工作)","育嬰留職停薪後可確保回復原職","彈性工時（例如可選擇上午班或下午班，或減少工時以配合家庭需求）,彈性工作地點（例如可部分時間在家工作）,可兼顧工作角色與家庭角色（例如包容家庭因素而假日無法加班或須提早下班）","","否，沒有差異","","","","","","","","","","","","","","","","","","","","","","","","","","","42.72.29.6",
